id,name,risk_nodes,source_nodes,agents_per_source,random_seed
1,representative_case,"[[0, ""8"", 1.0], [2200, ""153"", 0.6], [2200, ""225"", 1.0], [2200, ""224"", 1.0], [2200, ""201"", 0.6]]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
3,example_case,"[[0, ""8"", 1.0], [2400, ""153"", 0.6], [2400, ""225"", 1.0], [2400, ""224"", 1.0], [2400, ""201"", 0.6]]","[""82"", ""83""]","[5, 5]",233
4,representative_case_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
6,case_1_theme_park,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""1"", ""4"", ""35"", ""50""]","[13, 7, 6, 4]",2468
7,case_1,"[[0, ""32"", 1.0], [0, ""112"", 1.0], [0, ""222"", 1.0], [0, ""223"", 1.0], [2400, ""170"", 0.7]]","[""82"", ""83""]","[5, 5]",1001
8,case_2,"[[0, ""8"", 1.0], [0, ""7"", 1.0]]","[""82"", ""83""]","[5, 5]",1002
9,case_3,"[[0, ""112"", 1.0], [0, ""222"", 1.0]]","[""82"", ""83""]","[5, 5]",1003
10,case_4,"[[0, ""8"", 1.0], [0, ""56"", 1.0]]","[""82"", ""83""]","[5, 5]",1004
11,case_5,"[[0, ""40"", 1.0], [0, ""41"", 1.0], [0, ""42"", 1.0], [0, ""43"", 1.0], [2400, ""201"", 1.0]]","[""82"", ""83""]","[5, 5]",1005
12,case_6,"[[0, ""60"", 1.0], [0, ""61"", 1.0], [0, ""62"", 1.0]]","[""82"", ""83""]","[5, 5]",1006
13,case_7,"[[0, ""6"", 1.0], [0, ""70"", 1.0], [0, ""71"", 1.0], [0, ""72"", 1.0], [0, ""173"", 1.0], [0, ""144"", 1.0]]","[""82"", ""83""]","[5, 5]",1007
14,case_8,"[[0, ""6"", 1.0], [0, ""7"", 1.0], [3000, ""172"", 0.8]]","[""82"", ""83""]","[5, 5]",1008
15,case_9,"[[0, ""14"", 1.0], [0, ""30"", 1.0], [0, ""31"", 1.0], [0, ""75"", 1.0]]","[""82"", ""83""]","[5, 5]",1009
16,case_10,"[[0, ""11"", 1.0], [0, ""10"", 1.0], [0, ""60"", 1.0], [0, ""55"", 1.0], [0, ""139"", 1.0], [3000, ""165"", 1.0], [3000, ""103"", 1.0]]","[""82"", ""83""]","[5, 5]",1010
