id,case_name,risk_nodes,source_nodes,agents_per_source,random_seed
1,example_case,"[[0, ""8"", 1.0], [2350, ""153"", 0.6], [2350, ""225"", 1.0], [2350, ""224"", 1.0], [2350, ""201"", 0.6]]","[""82"", ""83""]","[5, 5]",233
2,representative_case,"[[0, ""8"", 1.0], [2200, ""153"", 0.6], [2200, ""225"", 1.0], [2200, ""224"", 1.0], [2200, ""201"", 0.6]]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
3,cruise_ship_case_1,"[[0, ""8"", 1.0], [2200, ""153"", 0.6], [2200, ""225"", 1.0], [2200, ""224"", 1.0], [2200, ""201"", 0.6]]","[""92"", ""70"", ""61"", ""119"", ""85""]","[5, 5, 6, 6, 10]",233
4,cruise_ship_case_2,"[[0, ""8"", 1.0], [2200, ""153"", 0.6], [2200, ""225"", 1.0], [2200, ""224"", 1.0], [2200, ""201"", 0.6]]","[""20"", ""49"", ""73"", ""84"", ""154""]","[5, 5, 6, 6, 5]",233
5,cruise_ship_case_3,"[[0, ""8"", 1.0], [2200, ""153"", 0.6], [2200, ""225"", 1.0], [2200, ""224"", 1.0], [2200, ""201"", 0.6]]","[""12"", ""61"", ""75"", ""43"", ""31""]","[5, 5, 6, 6, 5]",233
6,cruise_ship_case_4,"[[0, ""8"", 1.0], [2200, ""153"", 0.6], [2200, ""225"", 1.0], [2200, ""224"", 1.0], [2200, ""201"", 0.6]]","[""6"", ""68"", ""78"", ""55"", ""43""]","[5, 5, 6, 6, 5]",233
7,cruise_ship_case_5,[],"[""82"", ""83""]","[5, 5]",1006
8,cruise_ship_case_6,"[[0, ""40"", 1.0], [0, ""41"", 1.0], [0, ""42"", 1.0], [0, ""43"", 1.0], [2400, ""201"", 1.0]]","[""82"", ""83""]","[5, 5]",1005
9,cruise_ship_case_7,"[[0, ""6"", 1.0], [0, ""70"", 1.0], [0, ""71"", 1.0], [0, ""72"", 1.0], [0, ""173"", 1.0], [0, ""144"", 1.0]]","[""82"", ""83""]","[5, 5]",1007
10,cruise_ship_case_8,"[[0, ""6"", 1.0], [0, ""7"", 1.0], [3000, ""172"", 0.8]]","[""82"", ""83""]","[5, 5]",1008
11,cruise_ship_case_9,"[[0, ""14"", 1.0], [0, ""30"", 1.0], [0, ""31"", 1.0], [0, ""75"", 1.0]]","[""82"", ""83""]","[5, 5]",1009
12,cruise_ship_case_10,"[[0, ""11"", 1.0], [0, ""10"", 1.0], [0, ""60"", 1.0], [0, ""55"", 1.0], [0, ""139"", 1.0], [3000, ""165"", 1.0], [3000, ""103"", 1.0]]","[""82"", ""83""]","[5, 5]",1010
