id,case_name,risk_nodes,source_nodes,agents_per_source,random_seed
2,theme_park_case_1,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""69"", ""51"", ""18"", ""30""]","[13, 7, 6, 4]",2468
5,theme_park_case_2,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""5"", ""57"", ""37"", ""14""]","[13, 6, 5, 4]",2468
7,theme_park_case_3,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""43"", ""45"", ""1"", ""48""]","[4, 7, 6, 4]",2468
8,theme_park_case_4,"[[0, ""67"", 1.0], [0, ""54"", 1.0], [0, ""28"", 1.0], [0, ""17"", 1.0], [0, ""11"", 1.0]]","[""49"", ""58"", ""7"", ""33""]","[13, 7, 6, 4]",2468
9,theme_park_case_5,[],"[""49"", ""58"", ""7"", ""33""]","[13, 7, 6, 4]",2468
10,theme_park_case_6,"[[0, ""41"", 0.5], [0, ""48"", 0.5], [0, ""46"", 0.5], [0, ""3"", 1.0]]","[""69"", ""14""]","[13, 7]",2465
11,theme_park_case_7,"[[0, ""48"", 0.5]]","[""65"", ""14""]","[13, 7]",246
12,theme_park_case_8,"[[0, ""69"", 1.0]]","[""5"", ""14""]","[5, 7]",246
13,theme_park_case_9,"[[0, ""67"", 1.0]]","[""5"", ""14""]","[5, 7]",2469
15,theme_park_case_10,"[[0, ""67"", 1.0]]","[""3"", ""14"", ""69"", ""19""]","[5, 7, 6, 5]",2469
