experiment_id,case_name,agent_group_id,algorithm,awareness,n_records,mean_remaining_path_risk,remaining_path_risk_var,cumulative_risk_exposure,avg_path_length,min_time,avg_time,median_time,p90_time,max_time,case_name,risk_nodes,source_nodes,agents_per_source,random_seed
1,corridor_case_1,16,Centrality,High,17,0.0,0.0,0.0,7.411764705882353,19.59000000000002,22.278000000000024,22.29000000000002,24.420000000000027,24.960000000000026,corridor_case_1,[],"[""16""]",[5],1001
1,corridor_case_1,16,Centrality,Low,17,0.0,0.0,0.0,7.411764705882353,19.59000000000002,22.278000000000024,22.29000000000002,24.420000000000027,24.960000000000026,corridor_case_1,[],"[""16""]",[5],1001
1,corridor_case_1,16,Efficient,High,17,0.0,0.0,0.0,7.411764705882353,19.59000000000002,22.278000000000024,22.29000000000002,24.420000000000027,24.960000000000026,corridor_case_1,[],"[""16""]",[5],1001
1,corridor_case_1,16,Efficient,Low,17,0.0,0.0,0.0,7.411764705882353,19.59000000000002,22.278000000000024,22.29000000000002,24.420000000000027,24.960000000000026,corridor_case_1,[],"[""16""]",[5],1001
2,corridor_case_2,16,Centrality,High,26,0.0,0.0,0.0,11.884615384615385,32.46000000000003,35.448000000000036,35.460000000000036,38.01000000000004,38.28000000000004,corridor_case_2,[],"[""16""]",[10],1002
2,corridor_case_2,16,Centrality,Low,26,0.0,0.0,0.0,11.884615384615385,32.46000000000003,35.448000000000036,35.460000000000036,38.01000000000004,38.28000000000004,corridor_case_2,[],"[""16""]",[10],1002
2,corridor_case_2,16,Efficient,High,26,0.0,0.0,0.0,11.884615384615385,32.46000000000003,35.448000000000036,35.460000000000036,38.01000000000004,38.28000000000004,corridor_case_2,[],"[""16""]",[10],1002
2,corridor_case_2,16,Efficient,Low,26,0.0,0.0,0.0,11.884615384615385,32.46000000000003,35.448000000000036,35.460000000000036,38.01000000000004,38.28000000000004,corridor_case_2,[],"[""16""]",[10],1002
3,corridor_case_3,16,Centrality,High,31,0.021556579621095747,0.011347832293012785,0.19403225806451613,9.774193548387096,32.16000000000003,38.71050000000004,38.77500000000004,42.88500000000005,45.420000000000044,corridor_case_3,"[[0, ""9"", 1.0]]","[""16""]",[20],1003
3,corridor_case_3,16,Centrality,Low,31,0.021556579621095747,0.011347832293012785,0.19403225806451613,9.774193548387096,32.16000000000003,38.71050000000004,38.77500000000004,42.88500000000005,45.420000000000044,corridor_case_3,"[[0, ""9"", 1.0]]","[""16""]",[20],1003
3,corridor_case_3,16,Efficient,High,31,0.021556579621095747,0.011347832293012785,0.19403225806451613,9.774193548387096,32.16000000000003,38.71050000000004,38.77500000000004,42.88500000000005,45.420000000000044,corridor_case_3,"[[0, ""9"", 1.0]]","[""16""]",[20],1003
3,corridor_case_3,16,Efficient,Low,31,0.021556579621095747,0.011347832293012785,0.19403225806451613,9.774193548387096,32.16000000000003,38.71050000000004,38.77500000000004,42.88500000000005,45.420000000000044,corridor_case_3,"[[0, ""9"", 1.0]]","[""16""]",[20],1003
4,corridor_case_4,16,Centrality,High,33,0.0006734006734006734,5.985783763561542e-05,0.009494949494949495,9.181818181818182,32.16000000000003,41.375000000000036,41.475000000000044,46.93200000000005,49.44000000000005,corridor_case_4,"[[0, ""11"", 1.0], [0, ""12"", 0.7]]","[""16""]",[30],1004
4,corridor_case_4,16,Centrality,Low,33,0.03422799422799423,0.01298551501408644,0.03525252525252525,10.636363636363637,36.330000000000034,43.261000000000045,43.185000000000045,47.59500000000005,48.81000000000005,corridor_case_4,"[[0, ""11"", 1.0], [0, ""12"", 0.7]]","[""16""]",[30],1004
