id,case_name,risk_nodes,source_nodes,agents_per_source,random_seed
1,corridor_case_1,[],"[""16""]",[5],1001
2,corridor_case_2,[],"[""16""]",[10],1002
3,corridor_case_3,"[[0, ""9"", 1.0]]","[""16""]",[20],1003
4,corridor_case_4,"[[0, ""11"", 1.0], [0, ""12"", 0.7]]","[""16""]",[30],1004
5,corridor_case_5,"[[0, ""4"", 0.9]]","[""9""]",[15],1005
6,corridor_case_6,"[[0, ""10"", 1.0], [0, ""11"", 1.0]]","[""9""]",[25],1006
7,corridor_case_7,[],"[""16"", ""9"", ""5""]","[10, 10, 10]",1007
8,corridor_case_8,"[[0, ""11"", 1.0], [0, ""12"", 1.0], [0, ""13"", 0.8]]","[""16""]",[40],1008
9,corridor_case_9,"[[0, ""10"", 1.0], [0, ""11"", 1.0], [0, ""12"", 1.0]]","[""9""]",[50],1009
10,corridor_case_10,"[[0, ""10"", 1.0], [0, ""11"", 1.0]]","[""16"", ""9""]","[20, 20]",1010
