id,name,risk_nodes,source_nodes,agents_per_source,random_seed
1,case_1,"[[0, ""32"", 1.0], [0, ""112"", 1.0], [0, ""222"", 1.0], [0, ""223"", 1.0], [2400, ""170"", 0.7]]","[""82"", ""83""]","[5, 5]",1001
2,case_2,"[[0, ""8"", 1.0], [0, ""7"", 1.0]]","[""82"", ""83""]","[5, 5]",1002
3,case_3,"[[0, ""112"", 1.0], [0, ""222"", 1.0]]","[""82"", ""83""]","[5, 5]",1003
4,case_4,"[[0, ""8"", 1.0], [0, ""56"", 1.0]]","[""82"", ""83""]","[5, 5]",1004
5,case_5,"[[0, ""40"", 1.0], [0, ""41"", 1.0], [0, ""42"", 1.0], [0, ""43"", 1.0], [2400, ""201"", 1.0]]","[""82"", ""83""]","[5, 5]",1005
6,case_6,"[[0, ""60"", 1.0], [0, ""61"", 1.0], [0, ""62"", 1.0]]","[""82"", ""83""]","[5, 5]",1006
7,case_7,"[[0, ""6"", 1.0], [0, ""70"", 1.0], [0, ""71"", 1.0], [0, ""72"", 1.0], [0, ""173"", 1.0], [0, ""144"", 1.0]]","[""82"", ""83""]","[5, 5]",1007
8,case_8,"[[0, ""6"", 1.0], [0, ""7"", 1.0], [3000, ""172"", 0.8]]","[""82"", ""83""]","[5, 5]",1008
9,case_9,"[[0, ""14"", 1.0], [0, ""30"", 1.0], [0, ""31"", 1.0], [0, ""75"", 1.0]]","[""82"", ""83""]","[5, 5]",1009
10,case_10,"[[0, ""11"", 1.0], [0, ""10"", 1.0], [0, ""60"", 1.0], [0, ""55"", 1.0], [0, ""139"", 1.0], [3000, ""165"", 1.0], [3000, ""103"", 1.0]]","[""82"", ""83""]","[5, 5]",1010
11,case_11,"[[0, ""41"", 0.5], [0, ""48"", 0.5], [0, ""46"", 0.5], [0, ""3"", 1.0]]","[""69"", ""14""]","[13, 7]",2465
12,case_12,"[[0, ""48"", 0.5]]","[""65"", ""14""]","[13, 7]",246
13,case_13,"[[0, ""69"", 1.0]]","[""5"", ""14""]","[5, 7]",246
14,case_14,"[[0, ""67"", 1.0]]","[""5"", ""14""]","[5, 7]",2469
