experiment_id,case_name,agent_group_id,algorithm,awareness,n_records,mean_remaining_path_risk,remaining_path_risk_var,cumulative_risk_exposure,avg_path_length,min_time,avg_time,median_time,p90_time,max_time,case_name,risk_nodes,source_nodes,agents_per_source,random_seed
1,representative_case_mode_0,82,Efficient,0.0,117,0.03974304372284095,0.01668391314554293,0.02107449716437328,26.905982905982906,16968.0,17250.6,17253.0,17473.8,17529.0,representative_case_mode_0,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
1,representative_case_mode_0,83,Efficient,0.0,108,0.02504416629243555,0.008324995325371108,0.011896026682748601,25.925925925925927,15525.0,15811.2,15813.0,16036.8,16092.0,representative_case_mode_0,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
1,representative_case_mode_0,73,Efficient,0.0,56,0.0,0.0,0.0,19.553571428571427,7416.0,7899.5,7915.5,8244.0,8325.0,representative_case_mode_0,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
1,representative_case_mode_0,77,Efficient,0.0,65,0.00325751579368512,0.0007582690372453373,0.0287696333577596,21.584615384615386,8715.0,9162.5,9139.5,9546.0,9630.0,representative_case_mode_0,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
1,representative_case_mode_0,92,Efficient,0.0,103,0.012990491314455992,0.0039006465946367372,0.011728552916400993,21.57281553398058,13140.0,14026.2,13833.0,15078.0,15321.0,representative_case_mode_0,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
2,representative_case_mode_1,82,Efficient,1.0,98,0.0,0.0,0.0,24.510204081632654,12462.0,13718.4,13557.0,14590.8,14646.0,representative_case_mode_1,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
2,representative_case_mode_1,83,Efficient,1.0,95,0.0008431314367666876,0.00017583756141192246,0.0,23.673684210526314,12039.0,12896.4,12738.0,13856.4,14238.0,representative_case_mode_1,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
2,representative_case_mode_1,73,Efficient,1.0,56,0.0,0.0,0.0,19.553571428571427,7416.0,7900.0,7915.5,8245.5,8328.0,representative_case_mode_1,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
2,representative_case_mode_1,77,Efficient,1.0,64,0.001665393470734028,0.00032527373434141466,0.017887439241120105,21.375,8565.0,8991.0,8980.5,9343.5,9462.0,representative_case_mode_1,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
2,representative_case_mode_1,92,Efficient,1.0,96,0.0008839357027371067,0.00018373965838265225,0.0,22.916666666666668,12324.0,13391.4,13419.0,14127.3,14373.0,representative_case_mode_1,"[""163"", ""164""]","[""82"", ""83"", ""73"", ""77"", ""92""]","[5, 5, 6, 6, 10]",233
